1,210,A01,Line 15,JCRO,08:14:56,08:15:41
1,210,A01,Line 15,CRO2,08:15:51,08:16:06
1,210,A01,Line 15,SOQ2,08:17:38,08:17:53
1,210,A01,Line 15,HEQ2,08:19:40,08:19:55
1,210,A01,Line 15,CAW5/6,08:20:58,08:21:48
1,210,A01,Line 15,WIQ4,08:22:41,08:23:04
1,210,A01,Line 15,JWEM,08:23:14,08:24:04
1,210,A01,Line 15,WES2,08:24:42,08:24:57
1,210,A01,Line 15,LIM4,08:26:38,08:26:53
1,210,A01,Line 15,SHA2,08:28:55,08:29:10
1,210,A01,Line 15,BAN10,08:32:35,08:33:25
1,210,A01,Line 15,BANH,08:34:20,08:34:25
1,210,A01,Line 15,BAN9,08:35:22,08:36:52
1,210,A01,Line 15,JRMS,08:38:09,08:38:51
1,210,A01,Line 15,JRMX,08:38:09,08:38:51
1,210,A01,Line 15,SHA1,08:40:20,08:40:35
1,210,A01,Line 15,LIM3,08:42:41,08:42:56
1,210,A01,Line 15,WES1,08:44:28,08:44:43
1,210,A01,Line 15,JCAW,08:45:48,08:46:38
1,210,A01,Line 15,CAW1/2,08:46:57,08:47:47
1,210,A01,Line 15,HEQ1,08:48:46,08:49:01
1,210,A01,Line 15,SOQ1,08:50:52,08:51:07
1,210,A01,Line 15,CRO1,08:52:40,08:52:55
1,210,A01,Line 15,MUD1,08:54:05,08:54:20
1,210,A01,Line 15,ISG1,08:55:25,08:55:40
1,210,A01,Line 15,CUS1,08:57:08,08:57:38
1,210,A01,Line 15,GRE4,08:59:11,08:59:26
1,210,A01,Line 15,DEB1,09:01:01,09:01:16
1,210,A01,Line 15,ELR1,09:02:56,09:03:11
1,210,A01,Line 15,LEW6,09:04:28,09:07:10
1,210,A01,Line 15,ELR2,09:08:25,09:08:40
1,210,A01,Line 15,DEB2,09:10:16,09:10:31
1,210,A01,Line 15,GRE3,09:12:18,09:12:33
1,210,A01,Line 15,CUS2,09:14:05,09:14:33
1,210,A01,Line 15,ISG2,09:15:58,09:16:13
1,210,A01,Line 15,MUD2,09:17:26,09:17:41
1,210,A01,Line 15,JCRO,09:17:56,09:18:41
1,210,A01,Line 15,CRO2,09:18:51,09:19:06
1,210,A01,Line 15,SOQ2,09:20:38,09:20:53
1,210,A01,Line 15,HEQ2,09:22:40,09:22:55
1,210,A01,Line 15,CAW5/6,09:23:58,09:24:48
1,210,A01,Line 15,WIQ4,09:25:41,09:26:04
1,210,A01,Line 15,JWEM,09:26:14,09:27:04
1,210,A01,Line 15,WES2,09:27:42,09:27:57
1,210,A01,Line 15,LIM4,09:29:38,09:29:53
1,210,A01,Line 15,SHA2,09:31:55,09:32:10
1,210,A01,Line 15,BAN10,09:35:35,09:36:25
1,210,A01,Line 15,BANH,09:37:20,09:37:25
1,210,A01,Line 15,BAN9,09:38:22,09:39:37
1,210,A01,Line 15,JRMS,09:40:54,09:41:36
1,210,A01,Line 15,JRMX,09:40:54,09:41:36
1,210,A01,Line 15,SHA1,09:43:05,09:43:20
1,210,A01,Line 15,LIM3,09:45:26,09:45:41
1,210,A01,Line 15,WES1,09:47:13,09:47:28
1,210,A01,Line 15,JCAW,09:48:33,09:49:23
1,210,A01,Line 15,CAW1/2,09:49:41,09:50:11
1,210,A01,Line 15,HEQ1,09:51:11,09:51:26
1,210,A01,Line 15,SOQ1,09:53:17,09:53:32
1,210,A01,Line 15,CRO1,09:55:05,09:55:20
1,210,A01,Line 15,MUD1,09:56:30,09:56:45
1,210,A01,Line 15,ISG1,09:57:50,09:58:05
1,210,A01,Line 15,CUS1,09:59:33,09:59:58
1,210,A01,Line 15,GRE4,10:01:31,10:01:46
1,210,A01,Line 15,DEB1,10:03:21,10:03:36
1,210,A01,Line 15,ELR1,10:05:16,10:05:31
1,210,A02,Line 15,LEW6,10:06:48,10:08:06
1,210,A02,Line 15,ELR2,10:09:21,10:09:36
1,210,A02,Line 15,DEB2,10:11:12,10:11:27
1,210,A02,Line 15,GRE3,10:13:14,10:13:29
1,210,A02,Line 15,CUS2,10:15:01,10:15:26
1,210,A02,Line 15,ISG2,10:16:51,10:17:06
1,210,A02,Line 15,MUD2,10:18:19,10:18:34
1,210,A02,Line 15,JCRO,10:18:49,10:19:34
1,210,A02,Line 15,CRO2,10:19:44,10:19:59
1,210,A02,Line 15,SOQ2,10:21:31,10:21:46
1,210,A02,Line 15,HEQ2,10:23:33,10:23:48
1,210,A02,Line 15,CAW5/6,10:24:51,10:25:36
1,210,A02,Line 15,WIQ4,10:26:29,10:26:49
1,210,A02,Line 15,JWEM,10:26:59,10:27:49
1,210,A02,Line 15,WES2,10:28:27,10:28:42
1,210,A02,Line 15,LIM4,10:30:23,10:30:38
1,210,A02,Line 15,SHA2,10:32:40,10:32:55
1,210,A02,Line 15,BAN10,10:36:20,10:37:10
1,210,A02,Line 15,BANH,10:38:05,10:38:10
1,210,A02,Line 15,BAN9,10:39:07,10:40:27
1,210,A02,Line 15,JRMS,10:41:44,10:42:26
1,210,A02,Line 15,JRMX,10:41:44,10:42:26
1,210,A02,Line 15,SHA1,10:43:55,10:44:10
1,210,A02,Line 15,LIM3,10:46:16,10:46:31
1,210,A02,Line 15,WES1,10:48:03,10:48:18
1,210,A02,Line 15,JCAW,10:49:23,10:50:13
1,210,A02,Line 15,CAW1/2,10:50:32,10:51:17
1,210,A02,Line 15,HEQ1,10:52:16,10:52:31
1,210,A02,Line 15,SOQ1,10:54:22,10:54:37
1,210,A02,Line 15,CRO1,10:56:10,10:56:25
1,210,A02,Line 15,MUD1,10:57:35,10:57:50
1,210,A02,Line 15,ISG1,10:58:55,10:59:10
1,210,A02,Line 15,CUS1,11:00:38,11:01:03
1,210,A02,Line 15,GRE4,11:02:36,11:02:51
1,210,A02,Line 15,DEB1,11:04:26,11:04:41
1,210,A02,Line 15,ELR1,11:06:21,11:06:36
1,210,A02,Line 15,LEW6,11:07:53,11:13:06
1,210,A02,Line 15,ELR2,11:14:21,11:14:36
1,210,A02,Line 15,DEB2,11:16:12,11:16:27
1,210,A02,Line 15,GRE3,11:18:14,11:18:29
1,210,A02,Line 15,CUS2,11:20:01,11:20:26
1,210,A02,Line 15,ISG2,11:21:51,11:22:06
1,210,A02,Line 15,MUD2,11:23:19,11:23:34
1,210,A02,Line 15,JCRO,11:23:49,11:24:34
1,210,A02,Line 15,CRO2,11:24:44,11:24:59
1,210,A02,Line 15,SOQ2,11:26:31,11:26:46
1,210,A02,Line 15,HEQ2,11:28:33,11:28:48
1,210,A02,Line 15,CAW5/6,11:29:51,11:30:36
1,210,A02,Line 15,WIQ4,11:31:29,11:31:49
1,210,A02,Line 15,JWEM,11:31:59,11:32:49
1,210,A02,Line 15,WES2,11:33:27,11:33:42
1,210,A02,Line 15,LIM4,11:35:23,11:35:38
1,210,A02,Line 15,SHA2,11:37:40,11:37:55
1,210,A02,Line 15,BAN10,11:41:20,11:42:10
1,210,A02,Line 15,BANH,11:43:05,11:43:10
1,210,A02,Line 15,BAN9,11:44:07,11:45:27
1,210,A02,Line 15,JRMS,11:46:44,11:47:26
1,210,A02,Line 15,JRMX,11:46:44,11:47:26
1,210,A02,Line 15,SHA1,11:48:55,11:49:10
1,210,A02,Line 15,LIM3,11:51:16,11:51:31
1,210,A02,Line 15,WES1,11:53:03,11:53:18
1,210,A02,Line 15,JCAW,11:54:23,11:55:13
1,210,A02,Line 15,CAW1/2,11:55:32,11:56:17
1,210,A02,Line 15,HEQ1,11:57:16,11:57:31
1,210,A02,Line 15,SOQ1,11:59:22,11:59:37
1,210,A02,Line 15,CRO1,12:01:10,12:01:25
1,210,A02,Line 15,MUD1,12:02:35,12:02:50
1,210,A02,Line 15,ISG1,12:03:55,12:04:10
1,210,A02,Line 15,CUS1,12:05:38,12:06:03
1,210,A02,Line 15,GRE4,12:07:36,12:07:51
1,210,A02,Line 15,DEB1,12:09:26,12:09:41
1,210,A02,Line 15,ELR1,12:11:21,12:11:36
1,210,A02,Line 15,LEW6,12:12:53,12:18:06
1,210,A02,Line 15,ELR2,12:19:21,12:19:36
1,210,A02,Line 15,DEB2,12:21:12,12:21:27
1,210,A02,Line 15,GRE3,12:23:14,12:23:29
1,210,A02,Line 15,CUS2,12:25:01,12:25:26
1,210,A02,Line 15,ISG2,12:26:51,12:27:06
1,210,A02,Line 15,MUD2,12:28:19,12:28:34
1,210,A02,Line 15,JCRO,12:28:49,12:29:34
1,210,A02,Line 15,CRO2,12:29:44,12:29:59
1,210,A02,Line 15,SOQ2,12:31:31,12:31:46
1,210,A02,Line 15,HEQ2,12:33:33,12:33:48
1,210,A02,Line 15,CAW5/6,12:34:51,12:35:36
1,210,A02,Line 15,WIQ4,12:36:29,12:36:49
1,210,A02,Line 15,JWEM,12:36:59,12:37:49
1,210,A02,Line 15,WES2,12:38:27,12:38:42
1,210,A02,Line 15,LIM4,12:40:23,12:40:38
1,210,A02,Line 15,SHA2,12:42:40,12:42:55
1,210,A02,Line 15,BAN10,12:46:20,12:47:10
1,210,A02,Line 15,BANH,12:48:05,12:48:10
1,210,A02,Line 15,BAN9,12:49:07,12:50:27
1,210,A02,Line 15,JRMS,12:51:44,12:52:26
1,210,A02,Line 15,JRMX,12:51:44,12:52:26
1,210,A02,Line 15,SHA1,12:53:55,12:54:10
1,210,A02,Line 15,LIM3,12:56:16,12:56:31
1,210,A02,Line 15,WES1,12:58:03,12:58:18
1,210,A02,Line 15,JCAW,12:59:23,13:00:13
1,210,A02,Line 15,CAW1/2,13:00:32,13:01:17
1,210,A02,Line 15,HEQ1,13:02:16,13:02:31
1,210,A02,Line 15,SOQ1,13:04:22,13:04:37
1,210,A02,Line 15,CRO1,13:06:10,13:06:25
1,210,A02,Line 15,MUD1,13:07:35,13:07:50
1,210,A02,Line 15,ISG1,13:08:55,13:09:10
1,210,A02,Line 15,CUS1,13:10:38,13:11:03
1,210,A02,Line 15,GRE4,13:12:36,13:12:51
1,210,A02,Line 15,DEB1,13:14:26,13:14:41
1,210,A02,Line 15,ELR1,13:16:21,13:16:36
1,210,A02,Line 15,LEW6,13:17:53,13:23:06
1,210,A02,Line 15,ELR2,13:24:21,13:24:36
1,210,A02,Line 15,DEB2,13:26:12,13:26:27
1,210,A02,Line 15,GRE3,13:28:14,13:28:29
1,210,A02,Line 15,CUS2,13:30:01,13:30:26
1,210,A02,Line 15,ISG2,13:31:51,13:32:06
1,210,A02,Line 15,MUD2,13:33:19,13:33:34
1,210,A02,Line 15,JCRO,13:33:49,13:34:34
1,210,A02,Line 15,CRO2,13:34:44,13:34:59
1,210,A02,Line 15,SOQ2,13:36:31,13:36:46
1,210,A02,Line 15,HEQ2,13:38:33,13:38:48
1,210,A02,Line 15,CAW5/6,13:39:51,13:40:36
1,210,A02,Line 15,WIQ4,13:41:29,13:41:49
1,210,A02,Line 15,JWEM,13:41:59,13:42:49
1,210,A02,Line 15,WES2,13:43:27,13:43:42
1,210,A02,Line 15,LIM4,13:45:23,13:45:38
1,210,A02,Line 15,SHA2,13:47:40,13:47:55
